employee_id,department,position,gender,age,years_of_service,education,salary,performance_score,sick_days,training_hours
DGA0001,Planning,Director,Female,59,28,Bachelor,15000.0,51.2,10,17
DGA0002,Finance,Director,Female,57,5,Bachelor,34700.0,96.2,0,31
DGA0003,HR,Officer,Female,57,4,Master,27600.0,63.1,18,95
DGA0004,Technology,Analyst,Male,36,3,Master,19900.0,84.9,3,98
DGA0005,Policy,Analyst,Male,27,19,Bachelor,49300.0,82.1,18,38
DGA0006,Policy,Officer,Female,25,20,Bachelor,34500.0,94.8,10,45
DGA0007,Policy,Director,Male,57,25,Bachelor,37100.0,71.8,7,115
DGA0008,Finance,Director,Female,34,18,Bachelor,,60.8,10,28
DGA0009,Technology,Analyst,Female,53,15,Bachelor,34900.0,51.7,3,61
DGA0010,HR,Officer,Female,37,9,Master,40400.0,33.2,16,112
DGA0011,Policy,Officer,Male,36,17,Bachelor,44800.0,77.4,6,92
DGA0012,Finance,Analyst,Male,55,14,Master,41800.0,86.6,7,61
DGA0013,HR,Analyst,Female,26,15,PhD,38400.0,82.1,2,116
DGA0014,Policy,Officer,Male,59,1,Bachelor,56400.0,52.1,1,107
DGA0015,Policy,Section Head,Male,47,21,Master,49900.0,90.6,14,56
DGA0016,Policy,Officer,Female,41,22,Master,34000.0,64.5,4,15
DGA0017,Planning,Officer,Female,50,22,Bachelor,24100.0,61.4,0,55
DGA0018,Technology,Staff,Female,32,3,Bachelor,42700.0,64.2,3,107
DGA0019,Planning,Officer,Female,53,16,Master,37600.0,76.2,14,110
DGA0020,Planning,Section Head,Male,50,23,Master,,52.7,19,9
DGA0021,Technology,Section Head,Female,34,25,Master,46800.0,74.4,18,29
DGA0022,Policy,Analyst,Female,50,11,PhD,44200.0,,2,24
DGA0023,Planning,Officer,Male,58,12,Master,35200.0,91.6,19,102
DGA0024,Planning,Officer,Female,31,10,PhD,24500.0,77.6,10,83
DGA0025,Technology,Analyst,Female,28,16,Master,32600.0,54.9,16,4
DGA0026,HR,Analyst,Female,35,8,Master,40700.0,77.2,12,64
DGA0027,Policy,Staff,Female,53,6,Master,15000.0,59.1,10,93
