ชนิดพืช,ข้อมูล (ปี),ครัวเรือนเกษตรกร,พื้นที่ (ไร่),ผลผลิตเฉลี่ย (กก./ไร่),ผลผลิตรวม (ตัน),ราคาผลผลิต (บาท./กก.),มูลค่า (บาท)
ข้าวนาปี,2563," 13,886 "," 308,498 ", 616 ," 190,035 ", 9.10 ," 1,729,316,389 "
ข้าวนาปี,2564," 15,249 "," 312,591 ", 719 ," 224,744 ", 7.35 ," 1,651,868,921 "
ข้าวนาปี,2565," 14,149 "," 315,908 ", 678 ," 214,186 ", 9.20 ," 1,970,507,741 "
ข้าวนาปี,2566," 15,151 "," 312,771 ", 729 ," 228,010 ", 8.87 ," 2,022,449,223 "
ข้าวนาปี,2567," 15,211 "," 317,241 ", 773 ," 245,227 ", 8.73 ," 2,140,834,267 "
ข้าวนาปี,2568," 14,380 "," 300,466 ", 738 ," 221,744 ", 6.18 ," 1,370,378,492 "
ข้าวนาปรัง,2563," 1,587 "," 27,305 ", 698 ," 19,059 ", 8.50 ," 162,000,565 "
ข้าวนาปรัง,2564," 8,087 "," 183,053 ", 730 ," 26,211 ", 7.65 ," 200,516,541 "
ข้าวนาปรัง,2565," 6,523 "," 133,841 ", 756 ," 101,184 ", 9.60 ," 971,364,442 "
ข้าวนาปรัง,2566," 6,780 "," 132,332 ", 755 ," 99,910 ", 9.69 ," 968,134,295 "
ข้าวนาปรัง,2567," 7,107 "," 157,965 ", 751 ," 118,631 ", 6.95 ," 824,490,419 "
ข้าวนาปรัง,2568," 8,168 "," 164,364 ", 743 ," 122,122 ", 6.75 ," 824,325,323 "
ข้าวโพดเลี้ยงสัตว์,2563," 6,274 "," 155,860 "," 1,000 "," 155,860 ", 6.00 ," 93,516,000 "
ข้าวโพดเลี้ยงสัตว์,2564," 6,662 "," 155,004 "," 1,000 "," 155,002 ", 6.00 ," 930,014,940 "
ข้าวโพดเลี้ยงสัตว์,2565," 5,108 "," 134,321 "," 1,000 "," 134,321 ", 9.00 ," 1,208,889,000 "
ข้าวโพดเลี้ยงสัตว์,2566," 8,999 "," 175,703 ", 966 ," 169,729 ", 7.07 ," 1,199,984,722 "
ข้าวโพดเลี้ยงสัตว์,2567," 7,305 "," 145,278 ", 995 ," 144,552 ", 6.62 ," 419,199,669 "
ข้าวโพดเลี้ยงสัตว์,2568," 6,033 "," 182,384 ", 895 ," 163,234 ", 6.33 ," 473,377,672 "
มันสำปะหลัง,2563," 1,980 "," 39,198 "," 4,000 "," 156,792 ", 2.60 ," 454,696,800 "
มันสำปะหลัง,2564," 2,966 "," 60,535 "," 3,373 "," 230,891 ", 2.35 ," 669,583,900 "
มันสำปะหลัง,2565," 2,898 "," 54,796 "," 4,500 "," 246,582 ", 2.90 ," 579,467,700 "
มันสำปะหลัง,2566," 2,112 "," 77,307 "," 4,071 "," 314,717 ", 3.31 ," 739,584,473 "
มันสำปะหลัง,2567," 1,845 "," 39,963 "," 4,580 "," 183,031 ", 1.97 ," 430,121,769 "
มันสำปะหลัง,2568," 1,333 "," 45,578 "," 3,905 "," 177,983 ", 2.60 ," 418,259,747 "
เผือกหอม,2563, 211 ," 1,800 "," 4,800 "," 8,640 ", 25.00 ," 216,000,000 "
เผือกหอม,2564, 214 ," 2,641 "," 2,900 "," 10,563 ", 20.00 ," 211,260,000 "
เผือกหอม,2565, 220 ," 2,500 "," 3,482 "," 8,705 ", 35.00 ," 304,675,000 "
เผือกหอม,2566, 241 ," 4,148 "," 3,500 "," 14,518 ", 27.00 ," 391,986,000 "
เผือกหอม,2567, 221 ," 3,042 "," 3,130 "," 9,521 ", 50.00 ," 476,073,000 "
เผือกหอม,2568, 234 ," 3,696 "," 4,500 "," 16,632 ", 30.00 ," 498,960,000 "
ปาล์มน้ำมัน,2563, 117 ," 4,951 "," 2,300 "," 11,387 ", 6.45 ," 73,448,085 "
ปาล์มน้ำมัน,2564, 124 ," 5,235 "," 3,125 "," 16,309 ", 4.45 ," 72,575,050 "
ปาล์มน้ำมัน,2565, 100 ," 3,695 "," 3,100 "," 11,455 ", 9.95 ," 113,972,275 "
ปาล์มน้ำมัน,2566, 118 ," 5,775 "," 3,115 "," 17,989 ", 5.78 ," 103,977,143 "
ปาล์มน้ำมัน,2567, 115 ," 5,647 "," 3,502 "," 19,776 ", 5.27 ," 104,218,434 "
ปาล์มน้ำมัน,2568, 128 ," 5,834 "," 3,975 "," 23,190 ", 5.78 ," 134,039,067 "
มะม่วง,2563," 2,380 "," 7,908 "," 1,000 "," 7,908 ", 20.00 ," 158,160,000 "
มะม่วง,2564," 2,445 "," 7,793 "," 1,000 "," 7,793 ", 20.00 ," 154,014,200 "
มะม่วง,2565," 1,496 "," 2,836 "," 1,000 "," 2,836 ", 20.00 ," 56,720,000 "
มะม่วง,2566," 2,978 "," 4,193 "," 1,000 "," 4,193 ", 24.00 ," 83,860,000 "
มะม่วง,2567," 2,744 "," 8,080 "," 1,000 "," 8,080 ", 22.50 ," 161,600,000 "
มะม่วง,2568," 2,561 "," 9,136 "," 1,000 "," 9,136 ", 20.00 ," 182,720,000 "
กล้วยหอม,2563, 198 ," 2,349 "," 2,200 "," 5,168 ", 16.00 ," 82,684,800 "
กล้วยหอม,2564, 201 ," 2,523 "," 2,280 "," 5,753 ", 16.50 ," 94,928,050 "
กล้วยหอม,2565, 80 ," 6,132 "," 2,257 "," 13,840 ", 18.00 ," 249,118,632 "
