d_name,pop_total,area_km2,house_amt
แขวงห้วยขวาง,25879.0,5.34,30337.0
แขวงสามเสนนอก,38204.0,4.28,23822.0
แขวงบางกะปิ,17606.0,5.41,25609.0
แขวงทุ่งสองห้อง,76457.0,16.89,39222.0
แขวงตลาดบางเขน,28120.0,5.96,16580.0
แขวงหนองจอก,21773.0,29.99,7653.0
แขวงลำผักชี,30740.0,33.36,12767.0
แขวงลำต้อยติ่ง,9554.0,24.79,2862.0
แขวงโคกแฝด,33790.0,22.52,11635.0
แขวงคู้ฝั่งเหนือ,17763.0,17.75,6056.0
แขวงคลองสิบสอง,11365.0,38.87,4158.0
แขวงคลองสิบ,9022.0,30.85,2280.0
แขวงกระทุ่มราย,38983.0,38.13,15799.0
แขวงหนองค้างพลู,76208.0,17.04,30848.0
แขวงหนองแขม,80059.0,18.79,29832.0
แขวงออเงิน,38556.0,13.52,22867.0
แขวงสายไหม,80731.0,18.66,34505.0
แขวงคลองถนน,85245.0,12.44,42824.0
แขวงยานนาวา,20463.0,2.09,10489.0
แขวงทุ่งวัดดอน,38841.0,3.2,17785.0
แขวงทุ่งมหาเมฆ,19556.0,4.04,13981.0
แขวงตลาดน้อย,7593.0,0.45,3753.0
แขวงสัมพันธวงศ์,8740.0,0.48,4415.0
แขวงจักรวรรดิ,7322.0,0.48,5038.0
แขวงพระโขนงเหนือ,22404.0,3.43,19920.0
แขวงคลองตันเหนือ,54434.0,7.03,36715.0
แขวงคลองเตยเหนือ,8804.0,2.11,16304.0
แขวงพลับพลา,44869.0,7.71,27138.0
แขวงคลองเจ้าคุณสิงห์,29493.0,4.07,13641.0
แขวงสะพานสอง,11999.0,1.93,6597.0
แขวงวังทองหลาง,24932.0,5.56,13303.0
แขวงลาดพร้าว,92244.0,15.1,44648.0
แขวงจรเข้บัว,27465.0,7.06,11822.0
แขวงขุมทอง,8143.0,21.7,2759.0
แขวงทับยาว,29791.0,25.83,16718.0
แขวงลำปลาทิว,24332.0,33.75,12642.0
แขวงคลองสามประเวศ,15785.0,17.46,11206.0
แขวงคลองสองต้นนุ่น,67655.0,14.3,32265.0
แขวงลาดกระบัง,29956.0,10.82,17999.0
แขวงราษฎร์บูรณะ,32590.0,6.72,13832.0
แขวงบางปะกอก,49216.0,9.07,23204.0
แขวงมักกะสัน,15600.0,2.28,16151.0
แขวงถนนเพชรบุรี,14551.0,1.15,11593.0
