ปี,ไตรมาส,แหล่งน้ำ,จุดตรวจวัด,BOD,DO,FCB,NH3,NO3,TCB,WQI,ระดับ,target_binary,target_multi
2560,1,แม่น้ำป่าสัก,PS04,3.9,3.2,4600.0,0.07,0.33,14000,60,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2560,1,แม่น้ำป่าสัก,PS05,2.3,5.0,490.0,0.02,0.35,2400,64,พอใช้,ผ่าน,พอใช้
2560,1,แม่น้ำป่าสัก,PS07,1.8,4.0,5400.0,0.01,0.37,16000,60,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2560,2,แม่น้ำป่าสัก,PS04,3.5,6.0,1400.0,0.11,0.33,16000,56,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2560,2,แม่น้ำป่าสัก,PS05,2.6,7.8,490.0,0.02,0.15,790,70,พอใช้,ผ่าน,พอใช้
2560,2,แม่น้ำป่าสัก,PS06,2.4,7.0,330.0,0.02,0.04,490,70,พอใช้,ผ่าน,พอใช้
2560,2,แม่น้ำป่าสัก,PS07,1.5,4.0,140.0,0.24,0.18,240,70,พอใช้,ผ่าน,พอใช้
2560,3,แม่น้ำป่าสัก,PS04,3.1,5.0,2800.0,0.05,0.68,16000,57,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2560,3,แม่น้ำป่าสัก,PS05,1.8,5.6,3500.0,0.05,0.71,9200,62,พอใช้,ผ่าน,พอใช้
2560,3,แม่น้ำป่าสัก,PS06,1.8,6.0,330.0,0.03,0.07,490,74,ดี,ผ่าน,ดี
2560,3,แม่น้ำป่าสัก,PS07,2.8,3.4,1300.0,0.02,0.08,5400,58,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2560,4,แม่น้ำป่าสัก,PS04,1.1,5.0,790.0,0.07,0.39,35000,56,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2560,4,แม่น้ำป่าสัก,PS05,1.4,6.2,1700.0,0.04,0.59,9200,66,พอใช้,ผ่าน,พอใช้
2560,4,แม่น้ำป่าสัก,PS06,3.2,7.0,7900.0,0.04,0.15,1700,63,พอใช้,ผ่าน,พอใช้
2560,4,แม่น้ำป่าสัก,PS07,1.2,6.0,2400.0,0.02,0.68,3500,69,พอใช้,ผ่าน,พอใช้
2561,1,แม่น้ำป่าสัก,PS04,3.7,5.6,11000.0,0.08,0.1,35000,53,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2561,1,แม่น้ำป่าสัก,PS05,1.1,4.0,1700.0,0.06,0.05,5400,64,พอใช้,ผ่าน,พอใช้
2561,1,แม่น้ำป่าสัก,PS06,1.5,5.8,330.0,0.01,0.02,790,86,ดี,ผ่าน,ดี
2561,1,แม่น้ำป่าสัก,PS07,1.6,5.0,230.0,0.02,0.02,1100,74,ดี,ผ่าน,ดี
2561,2,แม่น้ำป่าสัก,PS04,1.5,6.8,22000.0,0.06,0.17,160000,56,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2561,2,แม่น้ำป่าสัก,PS05,1.3,6.6,490.0,0.03,0.08,1700,86,ดี,ผ่าน,ดี
2561,2,แม่น้ำป่าสัก,PS06,1.0,6.2,400.0,0.05,0.01,16000,70,พอใช้,ผ่าน,พอใช้
2561,2,แม่น้ำป่าสัก,PS07,2.7,9.0,2600.0,0.07,0.03,3200,60,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2561,3,แม่น้ำป่าสัก,PS04,1.4,7.0,3500.0,0.08,0.18,5400,66,พอใช้,ผ่าน,พอใช้
2561,3,แม่น้ำป่าสัก,PS06,1.3,5.6,45.0,0.05,0.02,93,87,ดี,ผ่าน,ดี
2561,3,แม่น้ำป่าสัก,PS07,1.4,6.2,9200.0,0.07,0.4,16000,58,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
2561,4,แม่น้ำป่าสัก,PS04,1.2,6.0,490.0,0.07,0.44,2800,82,ดี,ผ่าน,ดี
2561,4,แม่น้ำป่าสัก,PS05,1.9,5.8,330.0,0.08,0.43,490,72,ดี,ผ่าน,ดี
2561,4,แม่น้ำป่าสัก,PS06,1.3,6.4,45.0,0.1,0.42,78,87,ดี,ผ่าน,ดี
2561,4,แม่น้ำป่าสัก,PS07,1.6,5.2,220.0,0.1,0.31,3500,70,พอใช้,ผ่าน,พอใช้
2562,1,แม่น้ำป่าสัก,PS04,2.2,3.6,1100.0,0.19,0.08,9200,56,เสื่อมโทรม,ไม่ผ่าน,เสื่อมโทรม
